City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Score,Weather Description
386,Taikang,46.8333,124.4167,72.5,90,100,7.05,CN,262.5,Warm and Humid
387,Byron Bay,-28.65,153.6167,49.95,65,100,8.37,AU,214.95,Cool and Cloudy
388,Brae,60.3964,-1.353,54.1,81,50,7.0,GB,185.1,Slightly cloudy and Cool
389,Leshukonskoye,64.8989,45.7622,63.64,72,87,7.16,RU,222.64,Cool and Cloudy
390,Esna,25.2934,32.554,91.18,14,0,9.51,EG,105.18,Clear Skies and Light
391,Uyuni,-20.4597,-66.825,58.51,17,11,9.64,BO,86.50999999999999,Clear Skies and Light
392,Oltu,40.5498,42.0013,58.89,78,0,2.51,TR,136.89,Clear Skies and Light
393,Waipawa,-41.4122,175.5153,48.96,91,100,5.66,NZ,239.96,Warm and Humid
394,Touros,-5.1989,-35.4608,77.94,76,7,15.26,BR,160.94,Slightly cloudy and Cool
395,Porto Novo,6.4965,2.6036,78.62,86,100,8.14,BJ,264.62,Warm and Humid
396,Lehututu,-23.9667,21.8667,67.71,27,95,13.69,BW,189.70999999999998,Slightly cloudy and Cool
397,Bowen,-20.0167,148.2333,53.89,66,0,8.19,AU,119.89,Clear Skies and Light
398,Rawson,-43.3002,-65.1023,48.2,67,24,13.82,AR,139.2,Clear Skies and Light
399,Umm Lajj,25.0213,37.2685,90.28,41,97,5.01,SA,228.28,Cool and Cloudy
400,Amalapuram,16.5833,82.0167,78.53,89,99,1.41,IN,266.53,Warm and Humid
401,Coffs Harbour,-30.3,153.1333,46.13,87,65,4.61,AU,198.13,Cool and Cloudy
402,Komsomolskiy,40.4272,71.7189,84.92,37,46,4.61,UZ,167.92000000000002,Slightly cloudy and Cool
403,Strezhevoy,60.7333,77.5889,55.54,75,100,9.24,RU,230.54,Cool and Cloudy
404,Saldanha,-33.0117,17.9442,50.05,76,0,5.77,ZA,126.05,Clear Skies and Light
405,Vestmannaeyjar,63.4427,-20.2734,52.79,93,100,17.27,IS,245.79,Warm and Humid
406,Zaysan,47.4667,84.8667,69.91,25,0,10.18,KZ,94.91,Clear Skies and Light
407,Broome,42.2506,-75.833,84.61,52,40,12.66,US,176.61,Slightly cloudy and Cool
408,Victoria,22.2855,114.1577,85.95,82,0,5.01,HK,167.95,Slightly cloudy and Cool
409,Rocha,-34.4833,-54.3333,68.59,83,96,5.37,UY,247.59,Warm and Humid
410,Duluth,46.7833,-92.1066,80.29,39,20,17.27,US,139.29000000000002,Clear Skies and Light
411,Calama,-22.4667,-68.9333,73.89,9,0,20.71,CL,82.89,Clear Skies and Light
412,Muisne,0.6,-80.0333,74.79,86,100,9.4,EC,260.79,Warm and Humid
413,Koslan,63.4564,48.8989,58.24,65,82,5.61,RU,205.24,Cool and Cloudy
414,Portland,45.5234,-122.6762,93.87,45,17,4.0,US,155.87,Slightly cloudy and Cool
415,Baoying,33.2292,119.3092,76.6,95,6,5.77,CN,177.6,Slightly cloudy and Cool
416,Voh,-20.9667,164.7,67.96,85,100,4.16,NC,252.95999999999998,Warm and Humid
417,Sao Luiz Gonzaga,-28.4083,-54.9608,75.25,73,100,3.74,BR,248.25,Warm and Humid
418,Jieshi,22.8134,115.8257,83.86,75,29,5.97,CN,187.86,Slightly cloudy and Cool
419,Richards Bay,-28.783,32.0377,65.79,90,56,6.82,ZA,211.79000000000002,Cool and Cloudy
420,Tezu,27.9167,96.1667,75.38,96,89,2.59,IN,260.38,Warm and Humid
421,Dzhebariki-Khaya,62.2167,135.8,65.59,88,3,0.25,RU,156.59,Slightly cloudy and Cool
422,Illapel,-31.6308,-71.1653,59.0,72,100,6.49,CL,231.0,Cool and Cloudy
423,Ivanovka,42.8878,75.085,81.68,27,95,0.0,KG,203.68,Cool and Cloudy
424,Rauma,61.1272,21.5113,60.84,69,100,9.73,FI,229.84,Cool and Cloudy
425,Anqing,30.5092,117.0506,83.66,80,92,1.36,CN,255.66,Warm and Humid
426,Bachaquero,9.9694,-71.1494,86.86,65,19,8.63,VE,170.86,Slightly cloudy and Cool
427,Marfino,55.7028,37.3822,71.85,68,0,6.71,RU,139.85,Clear Skies and Light
428,Datong,40.0936,113.2914,60.24,86,1,0.94,CN,147.24,Clear Skies and Light
429,Seymchan,62.8833,152.4333,55.02,55,6,5.7,RU,116.02000000000001,Clear Skies and Light
430,Sunagawa,43.4864,141.9056,64.63,95,0,1.7,JP,159.63,Slightly cloudy and Cool
431,Saratoga Springs,43.0831,-73.7846,83.91,51,99,1.99,US,233.91,Cool and Cloudy
432,Arraial Do Cabo,-22.9661,-42.0278,73.26,73,0,16.11,BR,146.26,Clear Skies and Light
433,Kashan,33.9831,51.4364,96.39,29,100,4.61,IR,225.39,Cool and Cloudy
434,Kathu,7.9178,98.3332,86.76,84,100,5.7,TH,270.76,Warm and Humid
435,Dvinskoy,62.1535,45.1175,62.26,85,9,5.44,RU,156.26,Slightly cloudy and Cool
436,Airai,-8.9266,125.4092,50.94,84,61,4.18,TL,195.94,Slightly cloudy and Cool
437,Digoin,46.4812,3.9795,68.09,55,0,4.61,FR,123.09,Clear Skies and Light
438,Maracaibo,10.6317,-71.6406,87.82,55,74,9.13,VE,216.82,Cool and Cloudy
439,Vila,42.0304,-8.1588,56.28,59,23,3.76,PT,138.28,Clear Skies and Light
440,Waverley,-25.7023,28.2591,57.0,66,41,3.44,ZA,164.0,Slightly cloudy and Cool
441,Lagoa,39.05,-27.9833,72.77,88,95,12.48,PT,255.76999999999998,Warm and Humid
442,Asosa,10.0667,34.5333,57.99,91,96,3.02,ET,244.99,Warm and Humid
443,Sukabumi,-6.9181,106.9267,66.52,96,59,1.72,ID,221.51999999999998,Cool and Cloudy
444,Gat,31.61,34.7642,81.81,62,0,6.44,IL,143.81,Clear Skies and Light
